Nome,Settore,Città,Email,Telefono,Sito,Rating,Reviews
"Ristorante di Pesce Milano Buon prezzo - Settembrini 18","ristoranti","Milano","","+39 02 2951 9494","http://www.ristorantesettembrini18.it","4.6","2334"
"CANTINE A MARE - Ristorante di Pesce","ristoranti","Milano","","+39 02 8969 6018","https://cantinemilano.com/%3Fsite_source_name%3Dgmbctam","4.8","396"
"Veramente","ristoranti","Milano","milano@ristoranteveramente.it","+39 02 8568 7716","https://ristoranteveramente.it","4.8","1941"
"Osteria Mamma Rosa-Ristorante pesce Milano","ristoranti","Milano","info@osteriamammarosa.it","+39 02 2952 2076","http://www.osteriamammarosa.it","4.4","4776"
"Il panino del laghetto","ristoranti","Milano","","+39 339 383 8785","https://www.facebook.com/ilpaninodellaghetto","4.8","690"
"Anima Milano | Enrico Bartolini","ristoranti","Milano","info@santuffizio.com","+39 02 6227 8500","https://www.enricobartolini.net/i-ristoranti/milano-verticale","4.8","127"
"Ristorante Galleria","ristoranti","Milano","info@ristorantegalleria.it","+39 02 8646 4912","https://ristorantegalleria.it","4.5","6214"
"Terrazza Gallia","ristoranti","Milano","","+39 02 6785 3514","https://www.galliadining.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb","4.6","695"
"Come 'Na Vorta Pasta e Vino - Milano","ristoranti","Milano","info@pastaevinoroma.it","+39 02 4070 1724","https://pastaevinoroma.it","4.3","1728"
"Acanto","ristoranti","Milano","","+39 02 6230 2026","https://www.dorchestercollection.com/milan/hotel-principe-di-savoia/dining/acanto-restaurant%3Futm_source%3Dgoogle%26utm_medium%3Dhps_local_profile%26utm_campaign%3Dacanto%26utm_content%3Dmilan_dining","4.6","433"
"Deros Ristorante","ristoranti","Milano","","+39 02 3651 7680","https://www.derosmilano.it","4.7","993"
"Maio Restaurant Milano","ristoranti","Milano","","+39 02 885 2455","http://www.maiorestaurant.com","4","1902"
"Trippa","ristoranti","Milano","info@trippamilano.it","+39 327 668 7908","http://www.trippamilano.it","4.7","1706"
"Nero 9","ristoranti","Milano","","+39 02 9167 2324","http://www.nero9milano.com","4.6","1082"
"Donna Caterina Ristorante","ristoranti","Milano","donnacaterinaristorante@gmail.com","+39 02 7219 2549","https://www.donnacaterina.info","4.6","347"
"Ristorante Bistrot Milano - Latteria Isola Vini e Cucina","ristoranti","Milano","","+39 347 512 0230","https://inusc.it","4.4","223"
"miscusi | pasta fresca - Milano Cinque Giornate","ristoranti","Milano","","","https://miscusi.com/it/%3Futm_source%3Dgoogle%26utm_medium%3Dgooglemaps%26utm_campaign%3Dlinkgmb%26utm_content%3DI001","4.4","4028"
"Pasta d’Autore","ristoranti","Milano","info@pastadautoremilano.it","+39 02 3595 3304","https://pastadautoremilano.it","4.5","4189"
"Le Striatelle di nonna Mafalda","ristoranti","Milano","","+39 02 3981 1590","http://lestriatelle.it","4.5","2260"
"Ristorante Il Faro","ristoranti","Milano","","+39 02 5810 4107","http://www.ilfarodimilano.it","4.6","887"
"Osteria da Fortunata - Moscova Milano","ristoranti","Milano","","+39 02 5003 3307","https://it-it.facebook.com/osteriadafortunata","4.4","3509"
"Isola Ristorante Milano","ristoranti","Milano","","+39 349 875 7718","https://www.isolarestaurant.com/milan/%3Fl%3Dit","4.1","72"
"Trattoria Mibabbo","ristoranti","Milano","info@mibabbo.it","+39 02 4548 8997","http://www.mibabbo.it","4.5","1715"
"Sine by Di Pinto","ristoranti","Milano","info@sinerestaurant.com","+39 02 3659 4613","http://sinerestaurant.com","4.8","563"
"La Gioia San Marco","ristoranti","Milano","lagioia@lagioiasanmarco.it","+39 388 883 9951","http://www.lagioiasanmarco.com","4.6","3183"
"Seta","ristoranti","Milano","","+39 02 8731 8897","https://www.mandarinoriental.com/en/milan/la-scala/dine/seta%3Fsrc%3Dloc.yext.momln.ggl","4.6","634"
"Ristorante Qui Si Mangia","ristoranti","Milano","","+39 02 2318 6584","http://quisimangiamilano.it","4.4","1017"
"Ristorante Da Oscar (Porta Venezia)","ristoranti","Milano","info@ristorantedaoscar.it","+39 02 2951 8806","https://www.ristorantedaoscar.it","4.3","3537"
"Bice Milano","ristoranti","Milano","","+39 02 7600 2572","http://www.bicemilano.it","4.4","999"
"Terrazza Calabritto Milano","ristoranti","Milano","milano@terrazzacalabritto.it","+39 02 6379 3923","http://milano.terrazzacalabritto.it","4.5","461"
"Antico Ristorante Boeucc Milano- dal 1696","ristoranti","Milano","","+39 02 7602 0224","https://www.boeucc.it","4.4","1064"
"Sugo Milano - Duomo","ristoranti","Milano","","+39 342 012 8808","https://prenotazioni.taac-app.com/sugo","4.6","1041"
"Restaurante","ristoranti","Milano","","","","4.5","11"
"Ristorante Marino 1939","ristoranti","Milano","","+39 02 8646 4015","https://www.ristorantemarinomilano.it","4.6","1648"
"Ristorante Nabucco","ristoranti","Milano","info@nabucco.it","+39 02 860663","http://www.nabucco.it","4.2","1976"
"Valentino Legend","ristoranti","Milano","valentinolegend@hotmail.com","+39 328 845 2785","http://www.valentinolegend.it","4.4","1381"
"Andrea Aprea | Ristorante","ristoranti","Milano","info@andreaaprea.com","+39 02 3827 3030","https://www.andreaaprea.com/il-ristorante","4.5","154"
"Salsamenteria di Parma","ristoranti","Milano","","+39 02 7628 1350","https://www.salsamenteriadiparma.com/ristoranti/milano-san-babila/%3Futm_source%3DGBP%2B%26utm_medium%3Dinfo%2Bsanbabila%26utm_campaign%3Dsite","4.3","3159"
"La Rosa dei Venti","ristoranti","Milano","","+39 02 347338","","4.6","643"
"Bellavista Milano","ristoranti","Milano","","+39 02 804392","","4.3","1149"
"Ristorante Al Mercante","ristoranti","Milano","","+39 02 805 2198","https://ristorantealmercante.it/it","4.2","784"
"Ristorante Rifugio, Milano","ristoranti","Milano","info@ristorante-rifugio.com","+39 02 3493 4905","http://www.ristorante-rifugio.com","4.2","1690"
"Osteria Da Fortunata - Brera","ristoranti","Milano","gruppodafortunata@gmail.com","+39 02 3652 3774","https://www.osteriadafortunata.it","4.2","7998"
"Da Noi In","ristoranti","Milano","info@magnapars.it","+39 02 837 8111","https://www.magnapars.it/ristorante","4.4","99"
"Un posto a Milano","ristoranti","Milano","info@unpostoamilano.it","+39 02 545 7785","http://www.unpostoamilano.it","4","1688"
"Il Cairoli Bar & Restaurant","ristoranti","Milano","info@gruppouna.it","+39 338 665 1230","https://www.unaitalianhospitality.com/it/ristoranti/il-cairoli-bar-and-restaurant%3Fcmp%3Dgmb_il_cairoli_bar_restaurant_link","4.5","328"
"Pasto - Laboratorio di pasta con cucina","ristoranti","Milano","","+39 389 035 6309","https://www.facebook.com/pastomilano","4.7","2465"
"Ristorante Sadler","ristoranti","Milano","sadler@sadler.it","+39 02 5810 4451","http://www.ristorantesadler.it","4.6","696"
"Ristorante Stendhal Brera","ristoranti","Milano","","+39 02 657 2059","https://stendhalrestaurants.it","4.5","1842"
"The FisherMan Pasta","ristoranti","Milano","info@thefisherman.it","+39 02 7200 4524","https://www.thefisherman.it","4.4","1804"
"D.O.T. Chianti Street Food.","ristoranti","Milano","dot.chianti@gmail.com","+39 02 2305 0034","https://dotchianti.it","4.6","382"
"Trattoria la vecchia guardia","ristoranti","Milano","","+39 02 3663 1188","https://www.lavecchiaguardia.it","4.5","1280"
"OSTERIA DA FORTUNATA MILANO NAVIGLI","ristoranti","Milano","gruppodafortunata@gmail.com","+39 02 4547 2283","https://www.osteriadafortunata.it","4.4","1129"
"Il Paiolo dal 1973-Milano","ristoranti","Milano","","+39 02 6698 1816","http://ilpaiolo.plateform.app","4.5","819"
"Il Ristorante - Niko Romito","ristoranti","Milano","","+39 02 8058 05230","http://www.bulgarihotels.com/en_US/milan/bar-and-restaurant/il-ristorante","4.3","237"
"Il Tavolino","ristoranti","Milano","info@ristoranteiltavolino.it","+39 02 670 3520","https://www.ristoranteiltavolino.it","4.1","3658"
"Da Giacomo Arengario","ristoranti","Milano","","+39 02 7209 3814","https://giacomomilano.com/location/arengario","4.1","1750"
"Botinero","ristoranti","Milano","","+39 02 6556 0840","http://www.botinero.it","4.5","2142"
"Il Carpaccio Milano","ristoranti","Milano","","+39 02 0995 2990","","4.3","601"
"Zibo - Campo Base","ristoranti","Milano","","+39 02 3599 9463","http://zibocuochiitineranti.it","4.6","735"
"Ristorante Latterie 1952","ristoranti","Milano","","+39 02 8404 7873","https://www.latterie1952.it","4.4","211"
"L'Isola del Tesoro","ristoranti","Milano","info@isoladeltesoro.net","+39 02 5830 7003","http://www.ristoranteisoladeltesoro.it","4.4","2663"
"Fresca","ristoranti","Milano","","+39 351 923 4841","https://www.frescapastaclub.it/%3Futm_source%3Dgoogle%26utm_medium%3Dbusiness_profile%26utm_campaign%3Dlink_sito_web","4.4","891"
"The Kitchen Milano","ristoranti","Milano","thekitchen.milano@gmail.com​","+39 02 2951 3679","http://www.thekitchenmilano.com","4.3","1674"
"Ristorante Pane e Vino Milano","ristoranti","Milano","info@panevinomilano.com","+39 02 8645 1984","https://www.panevinomilano.com/%3Futm_source%3DMyBusiness%26utm_medium%3DSitoScheda","4.1","1493"
"Barzac • Tradizione Piacentina","ristoranti","Milano","barzacgourmet@gmail.com","+39 02 669 4790","https://www.barzacmilano.it","4.5","906"
"Ristorante Pizzeria San Mina - Milano","ristoranti","Milano","","+39 02 669 1452","https://sanminamilano.com","4.7","2553"
"Ristorante la Brisa","ristoranti","Milano","info@ristorantelabrisa.it","+39 02 8645 0521","http://www.ristorantelabrisa.it","4.5","699"
"Risoelatte Duomo","ristoranti","Milano","info@risoelatte.it","+39 02 3983 1040","https://risoelatte.com","4.4","3062"
"ITALIO","ristoranti","Milano","","+39 02 3329 8338","","4.9","126"
"Savô Pizzeria Gourmet","ristoranti","Milano","milano@pizzeriasavo.it","+39 02 8089 6169","http://www.pizzeriasavo.it","4.8","927"
"Il Capestrano Ristorante Abruzzese","ristoranti","Milano","info@ilcapestrano.it","+39 02 569 3345","http://www.ilcapestrano.it","4.6","1120"
"La Corte di San Maurilio","ristoranti","Milano","","+39 02 7209 5221","","4.3","1497"
"MU dimsum","ristoranti","Milano","info@mudimsum.it","+39 338 358 2658","https://www.mudimsum.it/it","4.6","1781"
"La Locanda Dell'Amore","ristoranti","Milano","","+39 02 2940 5454","https://m.facebook.com/pages/La-Locanda-Dell-Amore/306111069568214","4.2","712"
"Locanda alla Scala","ristoranti","Milano","info@locandaallascala.it","+39 02 869 3273","https://locandaallascala.it","4.4","638"
"STK Milan","ristoranti","Milano","","+39 02 8422 0110","https://stksteakhouse.com/venues/milan","4.4","812"
"Ristorante Rubacuori","ristoranti","Milano","","+39 02 776761","https://www.hotelchateaumonfort.com/it/dining/rubacuori.html","4.6","351"
"Locale","ristoranti","Milano","","+39 351 080 7152","http://www.localecento.it","4.7","111"
"Osteria delle Corti","ristoranti","Milano","info@osteriadellecorti.it","+39 02 3310 5753","https://www.osteriadellecorti.it","4.2","1489"
"Il Mosto Selvatico","ristoranti","Milano","ristoranteilmostoselvatico@yahoo.it","+39 02 8940 6172","http://www.ilmostoselvatico.com","4.3","716"
"Ristorante Berton","ristoranti","Milano","info@ristoranteberton.com","+39 02 6707 5801","http://www.ristoranteberton.com","4.6","691"
"Nobu Milano","ristoranti","Milano","","+39 02 6231 2645","https://locations.armani.com/restaurants-cafes-and-clubs/italy/nobu-milano","4.4","1371"
"Ristorante Il Consolare","ristoranti","Milano","","+39 02 7202 3459","","4.4","293"
"FX Milano Ristorante italiano","ristoranti","Milano","","+39 02 4341 6607","https://www.fx-ristorante.it","4.2","356"
"Osteria Arnaldo","ristoranti","Milano","info@osteriarnaldo.it","+39 02 3674 1863","https://www.osteriarnaldo.it","4.4","141"
"Andry","ristoranti","Milano","andryrestaurant@gmail.com","+39 02 8646 2709","http://www.ristoranteandry.com","4.4","933"
"Sant Ambroeus Milano","ristoranti","Milano","","+39 02 7600 0540","https://www.santambroeus.com/pages/location-milano","4.3","1477"
"Ristorante Papà Francesco dal 1946","ristoranti","Milano","","+39 02 862177","http://www.papafrancesco.com","3.9","3195"
"EMIPIACE (TIGELLE E GNOCCO FRITTO)","ristoranti","Milano","","+39 02 3598 5210","","4.5","240"
"Paper Moon Giardino","ristoranti","Milano","info@gragraphic.it","+39 02 7600 9895","https://www.papermoongiardino.com","4.4","2090"
"miscusi | pasta fresca - Milano Colonne","ristoranti","Milano","","+39 02 5003 0990","https://miscusi.com/%3Futm_source%3Dgoogle%26utm_medium%3Dgooglemaps%26utm_campaign%3Dlinkgmb%26utm_content%3DI003","4.4","4949"
"ZELO","ristoranti","Milano","","+39 02 7708 1478","https://www.fourseasons.com/milan/dining/restaurants/zelo/%3Futm_source%3Dgoogle%26utm_medium%3Dorganicsearch%26utm_campaign%3Dtor-mil-fab-mid-seo-na%26utm_content%3Dna-na%26utm_term%3Dna","4.3","134"
"Sicilian Brera Wine & Food Art Milano","ristoranti","Milano","","+39 02 7200 4449","http://www.sicilianbrera.com","4.5","553"
"Porkettiamo","ristoranti","Milano","","+39 02 8417 9686","https://www.porkettiamo.com","4.5","400"
"Vento di Sardegna","ristoranti","Milano","","+39 02 8909 3710","http://www.ristoranteventodisardegna.it/milano","4.5","1655"
"Il Salumaio di Montenapoleone","ristoranti","Milano","info@ilsalumaiodimontenapoleone.it","+39 02 7600 1123","https://www.ilsalumaiodimontenapoleone.it","4.3","1766"
"Ciciarà","ristoranti","Milano","","+39 02 8417 8681","http://www.ciciara.it","4.4","575"
"Beefbar","ristoranti","Milano","beefbarmilano@beefbar.com","+39 02 5003 7500","https://beefbar.com/milano","4.4","959"
"Panigacci Milano Bistrot","ristoranti","Milano","info@panigaccimilanobistrot.it","+39 339 419 4333","http://www.panigaccimilanobistrot.it","4.6","908"
"Osteria del Gnocco Fritto","ristoranti","Milano","info@gnoccofrittomilano.it","+39 02 5810 0216","https://www.gnoccofrittomilano.it","4.4","3550"
"Majestic Cafè Bistrot","ristoranti","Milano","","+39 02 3675 0473","","4.6","257"
"Pane e Tulipani","ristoranti","Milano","","+39 02 6671 0401","https://www.drinkino.it/panetulipani.html","4.3","1357"
"Taberna San Tomaso","ristoranti","Milano","","+39 02 874510","","4.3","928"
"ATMosfera","ristoranti","Milano","atmosfera@atm.it","+39 02 4860 7607","https://atmosfera.atm.it","4.4","674"
"Amami Ristorante Pizzeria Caffè","ristoranti","Milano","amamimilano@gmail.com","+39 02 6556 0388","http://www.amamiristorante.com","4.2","1775"
"La Cupola","ristoranti","Milano","","+39 02 8821 1236","https://www.hyatt.com/en-US/hotel/italy/park-hyatt-milan/milph/dining","4.5","200"
"Salsamenteria di Parma","ristoranti","Milano","","+39 02 7209 4367","https://www.salsamenteriadiparma.com/ristoranti/milano-brera/%3Futm_source%3DGBP%2B%26utm_medium%3Dinfo%2Bbrera%26utm_campaign%3Dsite","4.3","3106"
"Fishbar de Milan | Ristorante di pesce Milano","ristoranti","Milano","amministrazione@fishbar.it","+39 02 6208 7748","https://www.fishbar.it","4.3","560"
"Trattoria Lobster & More","ristoranti","Milano","","+39 02 654060","","4.3","635"
"Savini 1867","ristoranti","Milano","prenotazioni@savinimilano.it%20","+39 02 7200 3433","https://savinimilano.it","3.7","3480"
"Vik Pellico Otto Restaurant","ristoranti","Milano","restaurant@galleriavikmilano.com","+39 340 606 8187","https://www.vikpellicootto.com","4.5","278"
"La Mongolfiera","ristoranti","Milano","info@ristorantelamongolfiera.it","+39 02 745242","http://www.ristorantelamongolfiera.it","4.6","716"
"Nàpiz' Pizzeria Milano","ristoranti","Milano","","+39 02 3943 5143","https://www.instagram.com/napiz.pizzeriamilano","4.7","4275"
"The Dome | Rooftop & Restaurant","ristoranti","Milano","info@thedomemilano.com","+39 345 150 7992","http://www.thedomemilano.com","3.7","1861"
"Coraje","ristoranti","Milano","prenotazioni@corajerestaurant.com","+39 02 8454 2968","http://corajerestaurant.com","4.4","519"
"Enoteca di Mare-Bistrot","ristoranti","Milano","bistrot@enotecadimare.it","+39 02 688 3224","https://enotecadimare.it","4.3","904"
"La Colonna Trattoria milanese dal 1922","ristoranti","Milano","lacolonna10@libero.it","+39 02 8363 8830","http://www.trattorialacolonna.com","4.1","703"
"Ristorante Don Carlos","ristoranti","Milano","doncarlos@grandhoteletdemilan.it","+39 02 7231 4640","http://www.ristorantedoncarlos.it","4.4","192"
"Dongiò","ristoranti","Milano","ristorantedongio@gmail.com","+39 349 276 1011","http://www.dongio.it","4.4","1529"
"10_11 (Ten Eleven) - Portrait Milano","ristoranti","Milano","","+39 02 3679 95850","https://www.lungarnocollection.com/portrait-milano-hotel/dining","4.5","691"
"Horto Restaurant Milano","ristoranti","Milano","ciao@hortorestaurant.com","+39 02 3651 7496","https://hortorestaurant.com","4.4","217"
"La Taverna degli Arna","ristoranti","Milano","info@latavernadegliarna.it","+39 392 969 0799","http://www.latavernadegliarna.it","4.9","118"
"Caruso Nuovo","ristoranti","Milano","","+39 02 7231 4039","https://www.grandhoteletdemilan.it/it/bar-e-ristoranti/ristorante-caruso-nuovo.html","4.4","276"
"Osteria Al 29","ristoranti","Milano","osteriaal29milano@gmail.com","+39 02 869 3069","https://www.osteriaal29.com","4.2","1220"
"Obicà Mozzarella Bar - Cusani","ristoranti","Milano","webmarketing@obica.com","+39 02 4941 6936","http://www.obica.com","4.1","1310"
"Sabbia d'oro Ristorante-Pizzeria","ristoranti","Milano","","+39 02 8940 6761","https://www.facebook.com/sabbiadoro2001","4.5","1000"
