Nome,Settore,Città,Email,Telefono,Sito,Rating,Reviews
"Cova Montenapoleone","pasticcerie","Milano","info@covamilano.com","+39 02 7600 5599","http://www.pasticceriacova.com","4.4","2546"
"Pasticceria Caravaggio","pasticcerie","Milano","pinodeluca6@gmail.com","+39 02 8940 3289","http://www.pasticceriacaravaggio.it","4.5","367"
"Novecento Pasticceria","pasticcerie","Milano","","+39 02 4771 2344","","4.4","80"
"Marchesi 1824","pasticcerie","Milano","","+39 02 7600 8238","https://www.marchesi1824.com/eu/it.html","4.2","1210"
"Panzera Milano Pasticceria e Bistrot","pasticcerie","Milano","info@panzeramilano.com","+39 02 659 7327","http://shop.panzeramilano.com/pages/pasticceria","4.1","641"
"Parigi Dolci","pasticcerie","Milano","","+39 02 8723 4047","https://www.facebook.com/Parigi-Dolci-1864389193806291","4","264"
"Pasticceria Giovanni Cova & C.","pasticcerie","Milano","","+39 02 3668 2366","https://www.giovannicovaec.it","4.2","1265"
"Galleria Iginio Massari Milano","pasticcerie","Milano","","+39 02 4969 6962","http://www.iginiomassari.it","3.7","3642"
"Pasticceria Cremeria Buonarroti","pasticcerie","Milano","info@cremeriabuonarroti.it","+39 02 4800 7930","http://www.cremeriabuonarroti.it","3.6","814"
"Pasticceria Turi Giovanni","pasticcerie","Milano","","+39 02 846 6648","http://www.pasticceriaturigiovanni.it","4.6","148"
"Pasticceria De Luca dal 1983","pasticcerie","Milano","","+39 02 266 3528","","4.4","498"
"La Pagnottella Milano Panetteria Pasticceria dal 1999","pasticcerie","Milano","","+39 338 233 3342","http://www.lapagnottellamilano.it","4.5","100"
"Sugar","pasticcerie","Milano","","+39 02 481 5376","http://www.sugarmilano.it","4.4","833"
"Pasticceria Moschella","pasticcerie","Milano","milanolosanna@moschella.shop","+39 391 115 1343","https://moschella.shop","4.6","154"
"Casa Infante","pasticcerie","Milano","","+39 02 8494 0446","http://www.casainfante.it","4.4","1953"
"Pasticceria Cucchi","pasticcerie","Milano","info@pasticceriacucchi.it","+39 02 8940 9793","http://www.pasticceriacucchi.it","4","1625"
"Pasticceria Gattullo","pasticcerie","Milano","info@gattullo.it","+39 02 5831 0497","http://www.gattullo.it","4.3","1616"
"Alessandro Servida Pasticceria Milano","pasticcerie","Milano","","+39 02 3659 1680","","4.2","615"
"Serge Milano","pasticcerie","Milano","","+39 02 8909 4918","http://sergemilano.com","4.3","476"
"Panetteria - Pasticceria Giordano Alfredo Riccardo","pasticcerie","Milano","","+39 02 7600 3225","","4.6","34"
"S'LAB","pasticcerie","Milano","","+39 02 3653 5586","https://www.instagram.com/slabmilano%3Futm_source%3Dig_web_button_share_sheet%26igsh%3DZDNlZDc0MzIxNw%3D%3D","4.4","942"
"Clèa Pasticceria Culinaria","pasticcerie","Milano","info@pasticceriaclea.it","+39 320 768 3372","http://www.pasticceriaclea.it","4.3","586"
"Pasticceria Moriondo","pasticcerie","Milano","info@pasticceriamoriondo.com","+39 02 4800 5643","http://www.pasticceriamoriondo.com","4.4","303"
"Panificio Storico Vailati","pasticcerie","Milano","","+39 02 201253","","4.3","681"
"Pasticceria Ranieri","pasticcerie","Milano","","+39 02 890 0920","https://www.facebook.com/pasticceriaranieri.viapuccini1/%3Frf%3D1271883592974128","4.2","60"
"Pasticceria Di Lillo","pasticcerie","Milano","","+39 02 481 3233","","4.3","120"
"Pasticceria Viscontea","pasticcerie","Milano","","+39 02 3943 0081","http://www.visconteamilano.it","3.9","215"
"Spun Tiramisu","pasticcerie","Milano","hello@spuntiramisu.com","+39 02 4936 9422","https://spuntiramisu.com","4.4","3733"
"L'Angolo del Dessert","pasticcerie","Milano","info@angolodeldessert.it","+39 347 954 5718","http://www.angolodeldessert.it","4.7","165"
"Tiemì","pasticcerie","Milano","tiemipasticceria@gmail.com","+39 02 8287 4844","https://tiemipasticceria.wixsite.com/website-1","4.5","385"
"Pasticceria siciliana Licata","pasticcerie","Milano","","+39 02 3962 2771","","4.4","545"
"Pasticceria Scaringi","pasticcerie","Milano","","+39 02 3663 9908","","4.2","299"
"San Carlo","pasticcerie","Milano","info@pasticceriasancarlo.it","+39 02 481 2227","http://pasticceriasancarlo.it","3.9","793"
"Giovanni Galli","pasticcerie","Milano","info@giovannigalli.com","+39 02 8645 3112","http://www.giovannigalli.com","4.5","281"
"PastiChéri","pasticcerie","Milano","info@pasticheri.it","+39 02 8353 0640","http://pasticheri.it","4","445"
"Fidel's Pasticceria Milano","pasticcerie","Milano","","+39 02 3651 7190","http://www.artepasticceriamilano.it","4.4","54"
"La Casa della Brioche","pasticcerie","Milano","","+39 02 469 3866","","4.3","424"
"Biancolatte","pasticcerie","Milano","info@biancolatte.it","+39 02 6208 6177","http://www.biancolatte.it","4.1","3716"
"Pasticceria Grossi","pasticcerie","Milano","","+39 02 3952 8987","https://www.pasticceriagrossi.it","4.2","880"
"Il Cannolo Sua Eccellenza","pasticcerie","Milano","info@ilcannolo.com","+39 333 716 7083","http://www.ilcannolo.com","4.8","386"
"Panzerotti Luini","pasticcerie","Milano","info@luini.it","+39 02 8646 1917","http://www.luini.it","4.5","16241"
"Oro Nero Milano","pasticcerie","Milano","","+39 02 8417 9480","https://www.instagram.com/oronero.milano","4.2","313"
"Pavé","pasticcerie","Milano","","+39 02 3790 5491","http://www.pavemilano.com","4.4","2926"
"Leccornie","pasticcerie","Milano","","+39 02 3928 2714","https://www.facebook.com/Leccornievegan","4.8","526"
"Gelsomina","pasticcerie","Milano","info@pasticceriagelsomina.it","+39 02 6671 3696","https://www.pasticceriagelsomina.it","4.1","4252"
"Rinaldini Store Milano","pasticcerie","Milano","shoponline@rinaldinipastry.com","+39 389 958 2680","http://www.rinaldinipastry.com","4.1","584"
"Giacomo Pasticceria","pasticcerie","Milano","marketing@giacomomilano.com","+39 02 7631 9147","https://giacomomilano.com/it","4.3","173"
"Panificio Pasticceria Piazza Milano","pasticcerie","Milano","","+39 02 8397 4058","","4.3","110"
"Dolce Capriccio","pasticcerie","Milano","","+39 329 844 3770","","4.7","317"
"Pasticceria Sommariva","pasticcerie","Milano","","+39 02 5519 4414","http://www.pasticceriasommariva.it","4.5","183"
"Tipiace","pasticcerie","Milano","","+39 02 3598 6152","https://sites.google.com/view/tipiacemilano/home-page","4.5","158"
"Officina Zero","pasticcerie","Milano","officinazero@outlook.it","+39 392 682 2237","http://www.officinazerobakery.it","4.6","1416"
"Vergani Milano","pasticcerie","Milano","info@panettonevergani.it","+39 02 3651 8871","http://www.panettonevergani.com","4.2","567"
"Vergani","pasticcerie","Milano","info@panettonevergani.it","+39 02 4549 7606","http://www.panettonevergani.com","4.5","610"
"Dolci Memela","pasticcerie","Milano","","+39 02 3966 5279","","4.2","1210"
"Pasticceria Renato","pasticcerie","Milano","","+39 02 266 6689","https://www.pasticceriarenato.com","4.3","187"
"Panificio Pasticceria Caffetteria Bottarelli","pasticcerie","Milano","","+39 02 2940 5566","","4.3","1056"
"Grannus Milano Bakery • Porta Romana","pasticcerie","Milano","","+39 02 8239 8731","http://grannus.it","3.4","133"
"Cioccolatitaliani","pasticcerie","Milano","","+39 02 8909 3820","https://www.cioccolatitaliani.it","4.4","9528"
"GluFree Bakery","pasticcerie","Milano","amministrazione@glufreebakery.it","+39 02 5401 9723","http://www.glufreebakery.it","4.6","1146"
"La Pasticceria del Take Away","pasticcerie","Milano","","+39 02 4975 8062","https://m.facebook.com/lapasticceriadeltakeaway","3.4","47"
"Panarello","pasticcerie","Milano","francescopanarellospa@cgn.legalmail.it","+39 02 8646 2264","https://www.panarello.com","4.5","371"
"Pasticceria Sissi","pasticcerie","Milano","","+39 02 7601 4664","https://instagram.com/pasticceriasissi%3Futm_medium%3Dcopy_link","3.4","913"
"Pasticceria Carlino - Milano","pasticcerie","Milano","info@caffecarlino.it","+39 02 2416 8626","https://www.caffecarlino.it","3.5","829"
"Silini Bakery","pasticcerie","Milano","","+39 392 691 8109","https://www.instagram.com/silinibakery%3Figsh%3DbzNyOXI5dTd3anRr","4.5","361"
"Ma Che Buono","pasticcerie","Milano","","+39 02 3657 9150","https://m.facebook.com/machebuono","4.1","163"
"Panetteria Mercato","pasticcerie","Milano","gianluca.baroni@panetteriamercato.com","+39 02 869 3430","http://www.panetteriamercato.com","4.6","159"
"Panificio Pasticceria Artigianale - DA UN CHICCO ALL’ ALTRO - Pizze, Dolci e Torte per Feste.","pasticcerie","Milano","","+39 02 2940 7764","","4.4","273"
"Pasticceria Correggio","pasticcerie","Milano","pasticcorreggio@hotmail.it","+39 02 469 0887","http://www.pasticceriacorreggiomilano.it","4","198"
"DASHI PASTICCERIA","pasticcerie","Milano","","+39 334 925 2543","","4.4","234"
"El Murné - Panetteria caffetteria","pasticcerie","Milano","","+39 02 2953 3280","","4.4","224"
"Confetti Manganini","pasticcerie","Milano","","+39 02 608 1239","http://www.confettimilano.com/Home.aspx","4.7","318"
"Pasticceria | Catering | Armagni Coffee & Bakery","pasticcerie","Milano","armagnimilano@gmail.com","+39 02 3932 5190","https://www.armagnimilano.it","4.2","912"
"Pasticceria Massimo 1970","pasticcerie","Milano","","+39 02 5832 1188","","3.7","232"
"Da Vittorio Selection","pasticcerie","Milano","gift@davittorio.com","+39 02 9719 0077","https://www.davittoriogift.com","4.4","98"
"Giovanni Galli","pasticcerie","Milano","info@giovannigalli.com","+39 02 8646 4833","http://www.giovannigalli.com","4.2","176"
"Christian","pasticcerie","Milano","info@christiancorporation.it","+39 02 284 7564","https://www.christianpasticceria.it","4","771"
"Panificio Ticozzi San Maurilio 1","pasticcerie","Milano","","+39 02 2106 6244","","4.7","212"
"Baker's Place Tinapayan","pasticcerie","Milano","","+39 393 247 2415","http://bakersplace.it","4.8","36"
"California Bakery","pasticcerie","Milano","info@californiabakery.it","+39 02 8352 6850","http://www.californiabakery.it","3.4","840"
"Don'Cola Siciliano di Nascita - Milano Brera","pasticcerie","Milano","info@doncola.com","+39 02 4950 1819","https://www.doncola.com/store/milano-brera","4.3","176"
"Sayedein Bakery","pasticcerie","Milano","","+39 389 933 6164","","4.9","104"
"Ziva","pasticcerie","Milano","info@zivapasticceria.it","+39 02 9926 6436","http://www.zivapasticceria.it","4.1","386"
"Venchi Cioccolato e Gelato","pasticcerie","Milano","","+39 02 8909 6178","https://it.venchi.com","4.7","3180"
"Panarello Ambrodolci...pasticceria","pasticcerie","Milano","francescopanarellospa@cgn.legalmail.it","+39 02 8712 8284","http://www.panarello.com","4.2","915"
"Gelato Fatto Con Amore","pasticcerie","Milano","","+39 02 8408 2297","","4.8","2249"
"Paolo & Stefania Panificio Pasticceria","pasticcerie","Milano","","+39 02 4870 1535","","4.7","29"
"Tre Chicchere","pasticcerie","Milano","","+39 02 6900 7248","","4.2","511"
"Dolci Memela","pasticcerie","Milano","","+39 02 3657 4487","","3.8","385"
"Il Fornaio","pasticcerie","Milano","","+39 02 8940 6780","http://www.ilfornaiomilano.it","4","205"
"Venchi Cioccolato e Gelato, Milano Via Dante","pasticcerie","Milano","","+39 02 7210 5628","https://it.venchi.com","4.8","5386"
"Panarello","pasticcerie","Milano","francescopanarellospa@cgn.legalmail.it","+39 02 2953 1093","http://www.panarello.com","4.1","350"
"PastiChéri","pasticcerie","Milano","info@pasticheri.com","+39 02 8278 5509","https://www.pasticheri.com","3.4","329"
"Gelato e Champagne dal 1906 - Gluten Free","pasticcerie","Milano","info@cerdiniquenardel.com","+39 02 8413 1232","http://www.cerdiniquenardel.com","4.6","472"
"Ristorante Pasticceria Ward","pasticcerie","Milano","","+39 351 659 6295","","5","571"
"BAR - PASTICCERIA - BISTROT MIGNON","pasticcerie","Milano","info@mignon2go.com","+39 02 8408 5081","http://www.mignon2go.com","3.1","358"
"Di Pinto’s Bakery","pasticcerie","Milano","help@partoo.fr","+39 02 3944 3089","https://dipintosbakery.it/it","4","140"
"Caffè Napoli","pasticcerie","Milano","info@caffenapoli.com","+39 02 659 5089","https://www.caffenapoli.com","4.4","1237"
"Sant Ambroeus Milano","pasticcerie","Milano","","+39 02 7600 0540","https://www.santambroeus.com/pages/location-milano","4.3","1477"
"DOOOLCE LAB","pasticcerie","Milano","","+39 02 4548 1082","https://www.instagram.com/dooolcelab_milano%3Figsh%3DZmhpMGNmZDA2YjI%253D%26utm_source%3Dqr","4.5","261"
"Guido Gobino","pasticcerie","Milano","shop@guidogobino.it","+39 02 8909 6601","https://www.guidogobino.com","4.6","367"
"Bar Pasticceria Scaringi","pasticcerie","Milano","","+39 02 8723 6888","","3.6","301"
"Panificio Lissana","pasticcerie","Milano","panificio.lissanaargonne@gmail.com","+39 02 7000 4261","https://www.lissana.com","4.2","816"
"Princi","pasticcerie","Milano","","+39 02 7201 6067","http://www.princi.it","3.7","1230"
"Panarello","pasticcerie","Milano","francescopanarellospa@cgn.legalmail.it","+39 02 3707 2033","http://www.panarello.com","4.1","366"
"Pasticceria San Carlo","pasticcerie","Milano","info@pasticceriasancarlo.it","+39 02 8561 2814","https://www.pasticceriasancarlo.it","4","8"
"Princi","pasticcerie","Milano","","+39 02 2906 0832","https://www.princi.it/en/panettonemilano/%23dove","4","3611"
