Nome,Settore,Città,Email,Telefono,Sito,Rating,Reviews
"Torcè","gelaterie","Milano","","+39 06 574 6876","","4.4","600"
"Gelato Fatto Con Amore","gelaterie","Milano","","+39 02 8408 2297","","4.8","2249"
"Vanilla Gelati Italiani","gelaterie","Milano","","","https://www.vanilla-gelati-italiani.it","4.3","3029"
"Gelateria Fiabe di Gelato","gelaterie","Milano","info@fiabedigelato.it","+39 02 0995 1005","http://www.fiabedigelato.it","4.8","734"
"Gelateria Oasi","gelaterie","Milano","","+39 02 8421 0332","","4.4","1177"
"Venchi Cioccolato e Gelato, Milano Via Dante","gelaterie","Milano","","+39 02 7210 5628","https://it.venchi.com","4.8","5386"
"Gelateria LAV","gelaterie","Milano","","+39 351 394 3447","https://www.instagram.com/gelateria.lav","4.9","373"
"Grezzo Raw Chocolate - Via Urbana","gelaterie","Milano","","+39 06 483443","https://grezzorawchocolate.com","4.4","1655"
"Gelato e Champagne dal 1906 - Gluten Free","gelaterie","Milano","info@cerdiniquenardel.com","+39 02 8413 1232","http://www.cerdiniquenardel.com","4.6","472"
"Iconico Gelato Porta Venezia","gelaterie","Milano","info@iconicogelato.com","+39 02 2940 0264","https://www.iconicogelato.com","4.6","260"
"Out of the Box","gelaterie","Milano","","+39 02 3663 7300","https://www.facebook.com/outofthebox.gelato","4.2","1306"
"Le Sicilianedde - Cucina, Rosticceria, Pasticceria, Gelateria Siciliana","gelaterie","Milano","","+39 06 8069 3080","https://www.facebook.com/lesicilianedde","4.2","1604"
"Venchi Cioccolato e Gelato","gelaterie","Milano","","+39 02 8909 6178","https://it.venchi.com","4.7","3180"
"Gelateria La Romana dal 1947","gelaterie","Milano","milano-coldilana@gelateriaromana.com","+39 02 8942 3721","https://www.gelateriaromana.com/53-gelateria-milano.php","4.6","3026"
"GnomoGelato","gelaterie","Milano","","+39 02 481 8134","http://www.lognomogelato.it","4.5","790"
"CREMA Alta Gelateria","gelaterie","Milano","","+39 02 3928 5178","https://www.gelatocrema.com","4.2","1044"
"Gelato Crea","gelaterie","Milano","","+39 345 722 7398","https://gelatocrea.com","4.6","133"
"Nosh Gelato","gelaterie","Milano","info@noshgelato.com","+39 340 393 3142","http://www.noshgelato.com","4.7","430"
"[LA] Gelateria della Musica","gelaterie","Milano","","+39 02 3928 8619","https://m.facebook.com/lagelateriadellamusica","4.6","3261"
"Felice Milano","gelaterie","Milano","","+39 02 7010 3218","","4.4","739"
"Mancuso Gelati Italiani dal 1920","gelaterie","Milano","","+39 02 5812 3990","http://www.mancuso1920.it","4.6","692"
"Amorino","gelaterie","Milano","","","https://www.amorino.com/it%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dmybusiness-website","3.8","1074"
"Il Negozietto del Gelato","gelaterie","Milano","ilnegoziettodelgelato@gmail.com","+39 327 828 2041","http://www.ilnegoziettodelgelatodimilano.it","4.8","709"
"Venchi Cioccolato e Gelato, Milano Corso Buenos Aires","gelaterie","Milano","","+39 02 2940 3452","https://it.venchi.com/where-to-buy","4.8","1843"
"Terra Gelato | Eataly Milano Smeraldo","gelaterie","Milano","","+39 800 975 880","https://www.eataly.net/it_it/negozi/milano-smeraldo/ristoranti%3Futm_source%3Dgmb%26utm_medium%3Dlisting%26utm_campaign%3Dorganic-search","4.8","43"
"Artico Gelateria - Isola","gelaterie","Milano","%20info@gruppoartico.com","+39 02 4549 4698","https://www.gruppoartico.com","4.6","2464"
"Artico Gelateria - Duomo","gelaterie","Milano","%20info@gruppoartico.com","+39 02 4967 0146","https://www.gruppoartico.com","4.4","1097"
"Terra gelato","gelaterie","Milano","info@terragelato.it","+39 02 3679 5439","https://terragelato.it","4.5","439"
"La Piccola Gelateria","gelaterie","Milano","","+39 02 4947 2769","https://instagram.com/la.piccola.gelateria","4.8","617"
"Gelateria Tradizionale LatteNeve","gelaterie","Milano","","+39 02 3981 1258","https://www.facebook.com/Gelateria-Latteneve-783293678378154","4.5","644"
"Gelateria LAB","gelaterie","Milano","","+39 02 4941 1084","https://www.facebook.com/gelateria.lab","4.7","328"
"Gelatario Milano","gelaterie","Milano","","+39 02 3962 0379","http://www.gelatario.it","4.5","662"
"Venchi Cioccolato e Gelato, Milano City Life","gelaterie","Milano","","+39 02 498 9467","https://it.venchi.com","4.6","4574"
"Gelateria Giova","gelaterie","Milano","","+39 02 716257","https://m.facebook.com/GelateriaGiova/%3Flocale2%3Dit_IT","4.5","1141"
"Gelateria Marghera","gelaterie","Milano","info@gelateriamarghera.it","+39 02 468641","https://www.gelateriamarghera.it","4.3","2285"
"Gelateria Rigoletto","gelaterie","Milano","info@gelateriarigoletto.it","+39 02 498 1820","http://www.gelateriarigoletto.it","4.4","489"
"GROM","gelaterie","Milano","","+39 02 8292 0023","https://www.gromgelato.com/it/it/home.html%3Futm_source%3Dgoogle%26utm_medium%3DGMBSitelink%26utm_campaign%3DGMBSitelink_Milano_13_Margherita","4.3","1391"
"Amorino","gelaterie","Milano","","+39 02 9153 2598","http://www.amorino.com","3.7","1525"
"Viel Gelati Milano - Dal 1948 con voi","gelaterie","Milano","","+39 02 2951 6123","https://vielgelati.com","4.1","1193"
"Gelateria Borsieri","gelaterie","Milano","gelateria.borsieri@libero.it","+39 02 603217","https://gelateriaborsieri.it","4.4","851"
"GELATAMO MILANO","gelaterie","Milano","","+39 378 406 8001","https://www.instagram.com/gelatamo_","4.6","111"
"Venchi Cioccolato e Gelato - Milano Cadorna","gelaterie","Milano","","+39 02 481 2703","https://it.venchi.com/%3Futm_source%3DGoogle%26utm_medium%3Dmaps%26utm_campaign%3Dgoogle_mybusiness%26utm_content%3Dcadorna","4.7","1702"
"Iconico Gelato","gelaterie","Milano","info@iconicogelato.com","+39 02 4941 1816","https://www.iconicogelato.com","4.4","176"
"Ciampini Roma","gelaterie","Milano","","+39 06 687 6606","https://www.ciampini.com","3.8","1245"
"Luca - Il gelato di compagnia","gelaterie","Milano","info@lucagelaterie.com","","https://www.lucagelaterie.com","4.9","222"
"Baci Sottozero Piazzale Siena","gelaterie","Milano","","+39 02 8342 7773","http://www.bacisottozero.com","4.4","1253"
"Gelateria La Romana dal 1947","gelaterie","Milano","milano-buenosaires@gelateriaromana.com","+39 02 8086 2172","https://www.gelateriaromana.com/113-gelateria-milano.php","4.5","197"
"Wally Gelateria Creativa LAVATER","gelaterie","Milano","","+39 02 3655 7849","http://www.gelateriawally.it","4.5","409"
"La Voglia Gelato e Caffè","gelaterie","Milano","","+39 02 7208 0643","https://www.lavogliaicecream.it","3","790"
"La Bottega del Gelato Cardelli Marco","gelaterie","Milano","","+39 02 2940 0076","http://www.labottegadelgelato.it","4.3","717"
"GELATO for RUN - Gelateria Artigianale, Pasticceria","gelaterie","Milano","","+39 02 3676 7936","http://www.gelatoforrun.com","4.6","310"
"Gelateria artigianale Oasi","gelaterie","Milano","","+39 339 531 7649","","4.5","89"
"CREMA Alta Gelateria","gelaterie","Milano","","+39 02 6885 6633","https://www.gelatocrema.com","4.2","300"
"Cioccolatitaliani","gelaterie","Milano","","+39 02 7210 5486","https://www.cioccolatitaliani.it","3.8","2918"
"CREMA Alta Gelateria","gelaterie","Milano","","+39 02 4589 6252","http://www.gelatocrema.com","4.3","491"
"Gelateria Orso Bianco","gelaterie","Milano","","+39 02 9738 6848","http://www.facebook.com/orsobianco.gelateria","4.4","529"
"Gelato 4ever","gelaterie","Milano","","+39 351 860 6007","http://www.gelato4ever.com","4.6","207"
"Pavé - Gelati&Granite","gelaterie","Milano","","+39 02 3790 5496","http://www.pavemilano.com/gelati-granite","4.4","212"
"Gelato","gelaterie","Milano","","","","5","4"
"Milanesi Gelaterie Artigianali","gelaterie","Milano","","+39 02 3984 4565","https://milanesigelaterie.it","4.1","1007"
"Duomo Gelatieri Dal 1952","gelaterie","Milano","","+39 02 4801 7224","http://www.duomogelatieri.com","4.3","122"
"Gusto 17 - Navigli | Tortona District, Milano","gelaterie","Milano","info@gusto17.com","+39 02 3981 1835","http://www.gusto17.com","4.5","673"
"Gelateria Artigianale Porta Genova","gelaterie","Milano","","+39 389 479 1960","","4.4","131"
"Casa Infante","gelaterie","Milano","","+39 02 8494 0446","http://www.casainfante.it","4.4","1953"
"Rivareno Gelato","gelaterie","Milano","info@rivareno.com","+39 02 8909 6631","https://www.rivareno.com","4.3","1108"
"Icedream","gelaterie","Milano","","+39 02 2641 0075","","4.6","1774"
"Gelateria Accademia 64","gelaterie","Milano","","+39 379 181 1826","http://www.accademia64.com","4.6","342"
"Pavé - Gelati&Granite","gelaterie","Milano","","+39 02 3790 5498","http://pavemilano.com","4.6","1034"
"Biancolatte","gelaterie","Milano","info@biancolatte.it","+39 02 6208 6177","http://www.biancolatte.it","4.1","3716"
"Il Gelato di Gigi","gelaterie","Milano","","+39 339 402 3363","","4.3","325"
"Gelateria Amorino Navigli","gelaterie","Milano","","+39 02 9920 4588","http://www.amorino.com","3.3","1047"
"Gelateria Gelatò","gelaterie","Milano","","+39 02 2222 7571","","4.5","127"
"Panzera Milano Cioccolateria e Gelateria","gelaterie","Milano","info@panzeramilano.com","+39 02 659 7327","http://shop.panzeramilano.com/pages/pasticceria-2","4.6","45"
"Gelateria Ambrosiana","gelaterie","Milano","","+39 02 8646 1669","","2.9","655"
"Ice Bound","gelaterie","Milano","info@icebound.it","+39 02 4867 5030","http://www.icebound.it","4","352"
"Rivareno Gelato","gelaterie","Milano","info@rivareno.com","+39 02 8940 8459","https://www.rivareno.com","4.6","969"
"Gusto 17 - Arco della Pace, Milano","gelaterie","Milano","info@gusto17.com","+39 02 4970 9618","http://www.gusto17.com","4.5","650"
"Maison Caffet - Chocolatier Pâtissier - Milan","gelaterie","Milano","infos@caffet-compagnie.com","+39 333 611 7238","http://maison-caffet.com","4.8","411"
"Oltre il Gelato Milano","gelaterie","Milano","","","","4.2","80"
"GROM","gelaterie","Milano","","+39 02 6379 3431","https://www.gromgelato.com/it/it/home.html%3Futm_source%3Dgoogle%26utm_medium%3DGMBSitelink%26utm_campaign%3DGMBSitelink_Milano_17_Aulenti","3.9","1271"
"Alberto Marchetti","gelaterie","Milano","","+39 02 546 3245","http://albertomarchetti.it","4.4","589"
"Gelateria Prossima Fermata","gelaterie","Milano","iltuogelato@prossimafermata.com","+39 333 311 2637","https://prossimafermata.com","4.5","471"
"Gelateria Sioli e Bissoli","gelaterie","Milano","","+39 02 8417 1027","","4.4","681"
"Orsi","gelaterie","Milano","","+39 02 8940 6807","","4.2","967"
"Frozen by Arancin Cannoli e Granite","gelaterie","Milano","arancinmilano@gmail.com","+39 335 841 1111","http://www.rivadarsena.it","4.6","117"
"Grom","gelaterie","Milano","","+39 02 5004 3879","https://www.gromgelato.com/it/it/home.html%3Futm_source%3Dgoogle%26utm_medium%3DGMBSitelink%26utm_campaign%3DGMBSitelink_Milano_14_BuenosAires","4","1907"
"Gelateria I Gelati di Boccia","gelaterie","Milano","","+39 388 181 8439","","4.3","134"
"SBAM Gelati Washington","gelaterie","Milano","","+39 02 8355 4069","","4.7","244"
"Sir Oliver","gelaterie","Milano","","+39 02 3949 3965","https://facebook.com/Sir-oliver-gelateria-564612326885314","4.6","938"
"Gelateria Rossi","gelaterie","Milano","","+39 02 730492","https://www.facebook.com/Bar-Gelateria-ROSSI-543835499119519","3.6","309"
"Fru Eat - Urban Oasis","gelaterie","Milano","","+39 02 3940 1614","https://www.facebook.com/FrueatMilano","4.2","413"
"Yogorino","gelaterie","Milano","","+39 02 6408 8970","http://www.yogorino.it/negozi-frozen-yogurt","4.5","243"
"Eataly","gelaterie","Milano","","+39 800 975 880","https://www.eataly.net/it_it/negozi/milano-smeraldo%3Futm_source%3Dgmb%26utm_medium%3Dlisting%26utm_campaign%3Dorganic-search","4.2","14597"
"Dolci Melodie","gelaterie","Milano","","+39 02 5519 4210","","4.2","395"
"Halo Halo Shop","gelaterie","Milano","","","","4.5","24"
"Boutique - Enrico Rizzi Milano","gelaterie","Milano","info@enricorizzi.com","+39 02 3981 1172","http://www.enricorizzi.com","4.5","294"
"Gelateria Argonne, Milano","gelaterie","Milano","","","https://www.gelateriaargonne.com","3.5","379"
"Gelateria Primavera Milano","gelaterie","Milano","","+39 02 8404 2181","","4.3","229"
"GROM","gelaterie","Milano","","+39 334 648 4805","https://www.gromgelato.com/it/it/home.html%3Futm_source%3Dgoogle%26utm_medium%3DGMBSitelink%26utm_campaign%3DGMBSitelink_Milano_19_Carrobbio","4.2","137"
"Il Cannolo Sua Eccellenza","gelaterie","Milano","info@ilcannolo.com","+39 333 716 7083","http://www.ilcannolo.com","4.8","386"
"Amorino","gelaterie","Milano","","","https://www.amorino.com/it","3.3","132"
"Cioccolatitaliani","gelaterie","Milano","","","https://www.cioccolatitaliani.it/it","4.3","946"
"Gay Odin Milano Fabbrica di Cioccolato 1894","gelaterie","Milano","info@gayodin.it","+39 02 8454 1760","http://www.gay-odin.it","4.6","480"
"Il Gelato del Walter","gelaterie","Milano","","+39 02 4540 9120","https://www.ilgelatodelwalter.it","4.7","907"
"Bellavia Milano Pasticceria e Gelateria","gelaterie","Milano","","+39 02 3952 7520","","3.9","372"
"Tartufo - Ristorante Tre Scalini","gelaterie","Milano","info@trescalini.it","+39 06 6880 1996","http://www.trescalini.it","2.5","1769"
"Le Tre Gazzelle","gelaterie","Milano","","+39 02 7602 3826","","3.1","2041"
"GROM","gelaterie","Milano","","+39 02 6749 0569","https://www.gromgelato.com/it/it/home.html%3Futm_source%3Dgoogle%26utm_medium%3DGMBSitelink%26utm_campaign%3DGMBSitelink_Milano_16_Argentina","4","556"
"MAG - Mastri Artigiani del Gelato","gelaterie","Milano","mag@gelatomag.it","+39 02 4945 4095","http://www.gelatomag.it","4.4","515"
"Gelopie Store","gelaterie","Milano","","+39 02 4800 7403","https://www.bacisottozero.com/gelopie","4.3","264"
"Raki","gelaterie","Milano","","+39 02 8424 1128","","4.4","514"
